Company_Name,Internship_Title,Required_Skills,Preferred_Skills,Minimum_Experience,Location
WebWave Corp.,Software Developer Intern,"PowerBI, Data Analysis, HTML","MySQL, Unity, HTML",1,Mandaluyong
DataEdge Analytics,Embedded Systems Intern,"Java, React, Flask, Python","TensorFlow, Flask",0,Batangas
Insight Analytics,Backend Intern,"CSS, Data Analysis, TensorFlow, Excel","Excel, Node.js, Linux",0,Cebu
ElectroWorks,Game Developer Intern,"SQL, Data Analysis, TensorFlow, Python, CSS","PHP, C#",1,Makati
TechLabs Inc.,Embedded Systems Intern,"Flask, SQL, Linux, Java, Node.js","JavaScript, React",1,Davao City
ElectroWorks,IT Security Intern,"JavaScript, Flask, Unity, TensorFlow","React, PHP, Unity",0,Manila
IndieForge Studio,Frontend Intern,"Python, Java, React, JavaScript, Cybersecurity","MySQL, PHP, Data Analysis",0,Makati
TechLabs Inc.,Junior Developer,"PHP, Node.js, SQL, Machine Learning, CSS","Excel, Cybersecurity",1,Davao City
Insight Analytics,IT Security Intern,"JavaScript, Node.js, Cybersecurity, SQL, Networking","Python, PowerBI, CSS, TensorFlow",1,Manila
ElectroWorks,Frontend Intern,"JavaScript, Data Analysis, Linux, CSS, PowerBI","JavaScript, Java, Networking, React",0,Quezon City
SoftServe PH,Game Developer Intern,"C++, Laravel, Python, Node.js","Machine Learning, PowerBI, C++, Excel",0,Batangas
APIHub Solutions,Data Science Intern,"Cybersecurity, Machine Learning, Node.js","Flask, SQL, MySQL, Excel",1,Pasig
IndieForge Studio,Embedded Systems Intern,"C#, Linux, PowerBI, Machine Learning","Data Analysis, Linux",0,Batangas
IndieForge Studio,Embedded Systems Intern,"Machine Learning, Excel, JavaScript, Node.js, PowerBI","Excel, Python, Node.js",1,Pasig
SoftServe PH,IT Security Intern,"Laravel, C#, PHP, HTML","Linux, Data Analysis, C#",1,Valenzuela
SecureNet PH,Frontend Intern,"Machine Learning, Cybersecurity, CSS","Node.js, PowerBI, Unity, Linux",1,Mandaluyong
SoftServe PH,Frontend Intern,"Unity, Machine Learning, Flask, Node.js, Python","PHP, Data Analysis, PowerBI, MySQL",0,Cebu
IndieForge Studio,Data Analyst Intern,"MySQL, CSS, Java","C#, Python, Laravel, Unity",0,Cebu
IndieForge Studio,IT Security Intern,"PowerBI, C#, Cybersecurity, HTML","Laravel, SQL",1,Caloocan
ElectroWorks,Backend Intern,"MySQL, Flask, PowerBI, TensorFlow","JavaScript, Laravel",0,Davao City
BrightApps Digital,Mobile Developer Intern,"C++, Machine Learning, MySQL, C#","PowerBI, Linux, MySQL",0,Mandaluyong
DataEdge Analytics,Junior Developer,"PHP, Networking, PowerBI","Machine Learning, Flask",0,Manila
Insight Analytics,Mobile Developer Intern,"Machine Learning, JavaScript, Networking","CSS, Machine Learning, Cybersecurity",1,Manila
WebWave Corp.,Backend Intern,"PHP, Flask, C#","MySQL, JavaScript, Node.js, CSS",0,Caloocan
IndieForge Studio,Software Developer Intern,"Excel, Laravel, PHP, Python","Node.js, Excel, Python, Data Analysis",1,Mandaluyong
SoftServe PH,Game Developer Intern,"Java, Unity, Excel, SQL","Node.js, Unity",1,Batangas
DataEdge Analytics,IT Security Intern,"CSS, Excel, TensorFlow","Java, PowerBI, PHP, C#",0,Cebu
Insight Analytics,Mobile Developer Intern,"SQL, Excel, PowerBI","Excel, Linux, C#, CSS",0,Mandaluyong
SecureNet PH,Data Analyst Intern,"PowerBI, HTML, Node.js, Data Analysis, JavaScript","Laravel, C++, TensorFlow, Node.js",1,Davao City
WebWave Corp.,Game Developer Intern,"Node.js, CSS, MySQL, Unity","React, Laravel",1,Valenzuela
TechLabs Inc.,Backend Intern,"Flask, Excel, Java","Data Analysis, PHP, SQL",1,Makati
SecureNet PH,Game Developer Intern,"Cybersecurity, Java, Node.js, HTML","Node.js, MySQL, Flask, HTML",0,Makati
Insight Analytics,Software Developer Intern,"Python, Data Analysis, HTML, Laravel, Node.js","React, Python, Java, Machine Learning",0,Batangas
TechLabs Inc.,Embedded Systems Intern,"Machine Learning, Cybersecurity, TensorFlow","HTML, TensorFlow",0,Cebu
